,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,
85,Girls,Girls - The 2nd Mini Album,aespa,2022-08-07,KRA302200097,3923,21.6,115406939,11617,5520626,62,267348363,3146913,63600,49841018,401260794,127523080,13,1048,10,6,24059,17,399110,156,,249490,0,
91,Titliaan,Titliaan,Afsana Khan,2020-09-11,INUM72000090,1820,34.1,60103893,7617,1238881,54,996649537,9168790,151100,1406442,44461309,23808458,4,310,,,,2,1935,,,230094,0,
92,Daechwita,D-2,Agust D,2020-05-22,QM6N22036182,4375,20.1,313507248,26753,16233508,67,502937217,15675718,218,955832,4863938,133268690,9,208,7,5,26540,4,2618702,2413,,587656,1,
95,Bang!,Bang!,AJR,2020-12-02,QMRSZ2000128,1550,37.3,426425213,79159,7658013,56,140168452,1822530,264545,41846519,344434215,11756160,58,342701,455,13,13714,14,274601795,149484,,3342996,0,
96,World's Smallest Violin,OK ORCHESTRA,AJR,2021-01-01,QMRSZ2003324,2165,30.8,343227483,71196,5509068,63,239480315,4107386,532614,652146812,6292383402,988296994,9,38402,554,4,65921,6,8090551,75244,4172343,2936528,1,
99,Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva,2019-06-14,INS181903758,2372,29.3,211095929,15632,8831229,63,325655059,2524096,5710312,5797183,94600665,91612412,16,215,,,,2,,,,299317,0,
101,Smack That - Dirty,Smack That (feat. Eminem),Akon,2006-01-01,USUM70609036,3422,23.4,1023825031,204464,51055833,80,1251716030,8866662,,279003,1957205,397519323,37,28439,,24,316904,25,256334581,398868,,5885853,1,
105,Faded,Faded,Alan Walker,2015-04-12,NOG841549010,653,59.4,1943842010,221874,62851374,75,439888055,5232880,11253946,269640001,4682512450,23770197,103,107625,4,107,1092635,49,122793202,262131,11403504,26821494,0,
106,Alone,Alone,Alan Walker,2016-01-01,NOG841617010,1667,35.7,738909649,98916,19195265,70,1695861663,15412305,883818,33329265,388592360,469953995,43,36750,83,36,430870,16,33223993,57730,,6332168,0,
107,Sing Me to Sleep,The RCA-List (Vol. 2),Alan Walker,2016-01-01,NOG841611010,4481,19.7,381501023,56234,10566251,56,933353581,7640646,239631,9860965,133544796,248228132,40,22576,,10,84292,13,45353135,36069,2061025,32256,0,
108,The Spectre,The Spectre,Alan Walker,2017-09-15,NOG841713010,1395,39.7,428110164,67602,15209777,67,1517036583,14141233,2369610,157496340,1924971468,342164180,25,8689,,18,173266,18,24331598,26516,,3283494,0,
109,Darkside,Darkside,Alan Walker,2018-07-27,NOG841806010,2173,30.8,596469106,81058,16282307,67,919443352,9060446,155324,14285955,127865814,254564290,32,19066,,16,125289,11,35950795,54690,,2538154,0,
110,Ignite,Ignite,Alan Walker,2018-11-05,NOG841803010,3815,21.9,339954855,61901,8272313,64,669877400,6308434,411372,16903913,215231253,199672186,14,7518,,6,77388,9,11727727,11943,,2570303,0,
111,Lily,Different World,Alan Walker,2018-12-14,NOG841813040,870,51.8,403860053,45516,8731552,66,1057546150,7402999,7210674,89296676,1297576376,3130304,6,1552,,1,310,9,26619723,65704,,1793716,0,
112,On My Way,On My Way,Alan Walker,2019-03-21,NOG841901010,2119,31.3,670068696,75834,16363220,67,665558958,11599426,1228819,61987054,713445624,350041385,57,23803,,25,534986,17,9236402,13251,,4910579,1,
113,"Alone, Pt. II","Alone, Pt. II",Alan Walker,2019-12-27,NOG841907010,1740,35,606284550,81259,19361013,69,410411873,5873984,1859523,74967409,967965294,187346605,57,84664,,49,510696,13,3922831,4164,,5281784,0,
118,Semangat Kerjanya Kawan,Semangat Kerjanya Kawan,Aldo Zee,2022-09-19,SGB502242208,1891,33.4,32642,7,2063,1,50391,373,3622500,8929235,235913641,,,,,,,,,,,,0,
119,A Thousand Years,A Thousand Years,Aldy Santos,2017-02-27,QM4DW1718219,2062,31.8,13112,5,478,,75926,1615,,,,,,48,,,,,984853868,1264207,,17251,0,
120,Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,2018-05-25,USAT21802284,769,55.3,1709991997,187053,79925766,80,1447964376,19917766,2026064,188810282,2833687729,1915732260,1,1563,132,41,460093,10,,,,,0,
121,Pantysito,Pantysito,Alejo,2022-03-18,USUG12201485,2526,28.2,332175085,63085,23635638,66,119541325,763188,378000,93005063,866018385,213451655,37,20428,108,17,1616786,36,3756960,524,,616074,1,
124,Here,Here,Alessia Cara,2015-04-30,USUM71506251,2441,28.9,616445374,76646,16115782,65,656387408,7682235,1315832,22887140,166158568,297579936,19,31457,81,32,371682,37,436811272,216154,15694109,7438678,0,
125,Scars To Your Beautiful,Know-It-All,Alessia Cara,2015-11-13,USUM71506811,1201,43.2,1422563654,129568,38951634,71,710718042,9930759,4732710,104484107,736544909,461321746,138,171774,288,39,217966,26,462206026,174621,19565726,113684,0,
126,"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",Alessia Cara,2016-10-28,USWD11677601,1476,38.1,740261910,49852,13088456,58,341087439,2812967,6680,5148211,26579876,2631537,72,10652,,17,96911,12,267332003,1592942,4664608,3721475,0,
127,Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,2022-04-22,USUG12202336,2563,27.9,383945607,58627,45560940,72,51670623,427016,20633,9518866,159467861,2170376776,83,109284,409,31,987836,41,5618643,886,,1125402,0,
128,Little Do You Know,Little Do You Know,Alex & Sierra,2014-01-01,USSM11404193,4077,21.1,732651478,76941,29043662,65,511428536,5924267,1005996,76255229,663477196,18664403,37,198,,20,83357,8,475143620,284882,,1350264,0,
130,Toda Remix - Remix,Toda (Remix),Alex Rose,2018-01-06,QM4TX1838235,959,49.2,482021697,68578,13363939,66,1965829285,5786525,696400,34322459,289741256,30691906,25,2857,,5,41009,14,67068115,20616,,2148531,1,
131,Que Va,Que Va,Alex Sensation,2017-04-08,USUM71703862,4029,21.2,398779586,38061,11538458,59,784193659,2659427,38259,2010076,22158832,106087278,18,7551,,20,84828,17,142563626,18047,,2086078,0,
134,It's You,It's You,Ali Gatie,2019-06-14,USWB11901154,1292,41.4,1123039235,140766,29272883,72,763620890,9727420,653947,81833797,590573342,508662069,67,28821,175,38,622944,17,,,1882234,4561219,0,
135,What If I Told You That I Love You,What If I Told You That I Love You,Ali Gatie,2020-01-24,USWB12000024,3157,24.5,397893665,79817,11881352,58,290277607,3908510,572066,76546154,509242456,52247367,44,18338,182,43,193489,3,35832502,23552,,2777595,0,
136,Girl On Fire,NRJ Music Awards 2013,Alicia Keys,2012-01-01,USRC11201015,3620,22.6,646295324,96138,42759011,71,719570982,5771711,1767171,100602291,1264756176,233120548,112,132465,164,67,216702,33,130538038,461006,,5809958,0,
139,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),Alok,2022-06-17,DEE862200810,2318,29.7,335203899,61133,99451251,76,22524199,241700,9193,17617670,262461997,1754376767,92,120261,95,111,2069650,53,1743890,872,,1795229,0,
140,All By Myself,All By Myself,Alok,2022-07-10,DEE862201655,3764,22.1,153478699,23576,35626223,68,8834684,103744,,,,13208107,66,157225,84,74,2068935,18,106577,65,45258,1187709,0,
146,Sofia,Sofia,Alvaro Soler,2016-04-15,DEUM71601055,3612,22.6,353525330,59509,9323605,65,1004545222,7106869,379396,17082677,151019644,191192432,21,43791,4,16,74676,14,945763,10078,,6134790,0,
147,Ruper Jadu,Ruper Jadu,Alvee,2022-03-05,FR96X2235010,4299,20.3,551388,109,15834,19,233792,1334,2506536,38397792,485996018,,,,,,,,,,,22303,0,
149,SWIPE,SWIPE - Single,ALYPH,2022-10-21,SGUM72201016,4312,20.3,12383314,2946,205771,42,16319964,162244,1700011,132676197,1976747330,,4,4203,,1,4686,,,,,63034,0,
150,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2021-09-16,US23A1540104,610,61.3,428189728,95507,22395876,67,84966187,868089,5406735,1021159104,11653604916,98142716,100,22558,122,24,101103,33,6960206,6180,,5024951,1,
152,Uno,Uno,Ambjaay,2019-10-05,USSM11903445,4497,19.6,128411645,25190,4018662,47,86561302,1275303,17467,14675601,112331903,14950722,23,210,,3,41938,1,17430949,55733,55404639,1227296,1,
153,Best Day Of My Life,American Authors - EP,American Authors,2013-01-01,USUM71302187,3140,24.6,999525686,147511,76137901,74,349753696,3326207,161202,32837321,329470084,61512223,109,74556,541,55,143084,35,595709385,333439,,8366702,0,
156,Pipoco,Pipoco,Ana Castela,2022-05-20,BXHZ02200008,1794,34.4,238890270,27066,8621319,60,384799195,2963384,465300,88637887,1298188205,525707358,14,4831,,34,177404,11,,,,411758,0,
159,F Boy,F Boy,Ander Huang,2020-08-22,QZHNC2078374,2451,28.8,1415206,973,166740,19,59644,960,6501183,161122861,2181208314,,3,5,,2,378,,,,,145931,1,
161,"Don't Give Up On Me - (From ""Five Feet Apart"")","Don't Give Up On Me (From ""Five Feet Apart"")",Andy Grammer,2019-02-13,QMRSZ1802908,3463,23.2,509011250,72182,9700882,67,220773540,2241242,195726,94397647,685543612,40401043,31,9535,,2,16182,1,127404246,79212,12271237,3377256,0,
164,Tak Segampang Itu,Tak Segampang Itu,Anggi Marito,2022-02-12,IDUM72200281,2253,30.1,415357981,14918,7489575,74,201860884,912928,399388,88921840,1171868533,418,8,4463,,1,2405,,,,,127265,0,
166,"Vaathi Coming (From ""Master"")","Vaathi Coming (From ""Master"")",Anirudh Ravichander,2020-10-03,INS172000675,3300,23.9,94152948,9693,3944785,56,675223784,6031429,878600,51767552,848894091,156425286,7,323,,,,8,14043,,,166731,0,
172,Downtown,Downtown,Anitta,2017-11-19,BRWMB0700761,3279,24,678928131,57167,19566520,72,775603021,5185313,272600,72091395,567535888,419111609,58,8828,141,144,254568,46,57268252,20138,,2588672,0,
173,Envolver,Envolver - Single,Anitta,2021-11-11,USWL12100576,401,76.2,635241142,77669,44546385,65,836072339,4909216,2101465,699278513,9427647770,1434107266,102,86127,402,72,1135788,86,19183846,6406,,2534489,0,
177,2002,Speak Your Mind,Anne-Marie,2015-01-01,GBAHS1800094,3160,24.5,1531490541,115663,31287443,73,391667255,3102373,3435149,75681966,892595513,,93,64453,104,43,424600,39,47969112,52873,,5500764,0,
179,Tom's Diner,Tom's Diner,AnnenMayKantereit,2019-06-28,DEUM71903009,3640,22.5,296543065,117924,14177874,68,205245834,3566571,256438,262367607,2473547695,6435978,12,6060,148,16,103155,12,1650972,10222,527470,3560853,0,
180,Relax My Eyes,Relax My Eyes,ANOTR,2022-04-11,GBKQU2296427,1671,35.7,149095636,85011,24383123,73,21554535,197879,21611,8785047,120828235,2887284,33,8153,7,22,100603,11,255427,880,4210059,,0,
182,Ella Quiere Beber - Remix,Ella Quiere Beber (Remix),Anuel AA,2018-02-11,QM6P41842818,2299,29.9,778846570,66150,25410849,70,785898158,2771037,24500,1838702,18692923,132331823,37,19681,62,18,279961,36,184152509,23518,,1494647,0,
183,Quiere Beber,Real Hasta la Muerte,Anuel AA,2018-07-17,QM6MZ1820540,3065,25,432365949,52014,11084284,66,754077455,3984464,41400,3608721,34316786,20459277,23,7,,15,223753,10,154181434,26019,,1717726,0,
184,Amanece,Amanece,Anuel AA,2018-12-14,USDXS1806044,1457,38.4,784096553,80071,22684253,77,979304024,4295929,78500,8119129,98951834,153169651,31,7211,26,8,63513,11,100876561,12268,17640877,1503816,0,
185,Secreto,Secreto,Anuel AA,2019-01-15,USXDR1900020,957,49.2,759388276,68502,18835572,65,1595484197,8161642,609042,40357374,543804719,306014364,40,159,15,43,358784,21,147935567,36380,3064688,1317266,0,
186,China,China,Anuel AA,2019-07-19,QM6P41952433,376,79.5,1178076574,137559,58323638,68,2324673715,9851235,386741,15484682,146747450,300548195,182,36105,20,75,1424896,63,97138846,31755,2130789,5865011,0,
187,Hasta Que Dios Diga,Emmanuel,Anuel AA,2020-05-29,QM4TX2084345,2071,31.7,657768560,87832,40590466,71,485818371,2230333,56900,4821532,48119818,111654843,93,4268,,19,250832,19,24169267,3230,5908323,1043955,1,
188,23 Preguntas,23 Preguntas - Single,Anuel AA,2021-08-23,QMFME2196017,4158,20.8,154250706,31969,7964623,66,284578688,1844499,48300,5657914,57372493,25292068,20,1699,,7,2284818,6,8480611,2227,,435928,1,
194,Brown Munde,Brown Munde,AP Dhillon,2020-09-18,TCAFC2063050,2148,31,267617808,37741,5454166,64,756395439,7889556,222602,15409897,182472232,,20,1757,,1,1097,2,491910,1515,,557124,0,
