,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_artist_tuple,Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 29
370,3zu2CuVTJwaZn2m4rBzaUO,"Swedish House Mafia,John Martin",Don't You Worry Child,Don't You Worry Child,47,403493,False,0.632,0.88,2,-4.051,1,0.0463,0.0144,0.0021,0.118,0.338,129.007,4,progressive-house,"(""Don't You Worry Child"", 'Swedish House Mafia,John Martin')",3135,Don't You Worry Child - Radio Edit,Until Now,Swedish House Mafia,2012-01-01,GBAAA1200728,4557,19.5,1088273121.0,203395,83814501,76.0,20942928.0,209498.0,25739.0,16932344.0,115452865.0,39509629.0,142.0,166092.0,,76.0,636337.0,46.0,293997575.0,349531.0,,102837.0,0,
371,7kfOEMJBJwdCYqyJeEnNhr,"Swedish House Mafia,The Weeknd",Moth To A Flame,Moth To A Flame (with The Weeknd),71,234000,False,0.542,0.659,8,-7.289,1,0.0389,0.00279,0.0,0.105,0.109,120.122,4,progressive-house,"('Moth To A Flame (with The Weeknd)', 'Swedish House Mafia,The Weeknd')",3136,Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2021-05-02,USUG12105524,1056,46.8,861100951.0,153435,41139591,74.0,95899960.0,848696.0,35151.0,18345722.0,184453448.0,2623975.0,122.0,245294.0,305.0,64.0,3075152.0,47.0,20927702.0,4078.0,4485036.0,5566537.0,0,
372,40MXr7BMh3ShPf2b9giSRt,"Swedish House Mafia,The Weeknd,Moojo",Moth To A Flame (Moojo Remix),"Moth To A Flame (with The Weeknd, Moojo) - Moojo Remix",54,436721,False,0.681,0.915,0,-7.549,0,0.0423,0.00102,0.413,0.0731,0.109,121.996,4,progressive-house,"('Moth To A Flame (with The Weeknd, Moojo) - Moojo Remix', 'Swedish House Mafia,The Weeknd,Moojo')",3136,Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2021-05-02,USUG12105524,1056,46.8,861100951.0,153435,41139591,74.0,95899960.0,848696.0,35151.0,18345722.0,184453448.0,2623975.0,122.0,245294.0,305.0,64.0,3075152.0,47.0,20927702.0,4078.0,4485036.0,5566537.0,0,
373,1S9DHKpS73KFVN7nnIql3f,"Swedish House Mafia,The Weeknd",Dawn FM (Alternate World),Moth To A Flame (with The Weeknd),53,234000,False,0.542,0.659,8,-7.289,1,0.0389,0.00279,0.0,0.105,0.109,120.122,4,progressive-house,"('Moth To A Flame (with The Weeknd)', 'Swedish House Mafia,The Weeknd')",3136,Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2021-05-02,USUG12105524,1056,46.8,861100951.0,153435,41139591,74.0,95899960.0,848696.0,35151.0,18345722.0,184453448.0,2623975.0,122.0,245294.0,305.0,64.0,3075152.0,47.0,20927702.0,4078.0,4485036.0,5566537.0,0,
374,7adZFwp4PnLDL2QrQhv8fD,"Swedish House Mafia,The Weeknd",Moth To A Flame,Moth To A Flame (with The Weeknd) - Extended Mix,52,298750,False,0.705,0.643,0,-8.766,0,0.0548,0.000831,0.000605,0.136,0.223,119.987,4,progressive-house,"('Moth To A Flame (with The Weeknd) - Extended Mix', 'Swedish House Mafia,The Weeknd')",3136,Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2021-05-02,USUG12105524,1056,46.8,861100951.0,153435,41139591,74.0,95899960.0,848696.0,35151.0,18345722.0,184453448.0,2623975.0,122.0,245294.0,305.0,64.0,3075152.0,47.0,20927702.0,4078.0,4485036.0,5566537.0,0,
375,6j6F1Y7axFvgjuiRsEQCWO,"Swedish House Mafia,The Weeknd",Moth To A Flame,Moth To A Flame (with The Weeknd),51,234000,False,0.542,0.659,8,-7.289,1,0.0389,0.00279,0.0,0.105,0.109,120.122,4,progressive-house,"('Moth To A Flame (with The Weeknd)', 'Swedish House Mafia,The Weeknd')",3136,Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2021-05-02,USUG12105524,1056,46.8,861100951.0,153435,41139591,74.0,95899960.0,848696.0,35151.0,18345722.0,184453448.0,2623975.0,122.0,245294.0,305.0,64.0,3075152.0,47.0,20927702.0,4078.0,4485036.0,5566537.0,0,
376,1xIqDFx3KdByBnKMlTECcM,"SwitchOTR,A1 x J1",Coming for You (feat. A1 x J1),Coming for You (feat. A1 x J1),74,178285,True,0.813,0.481,1,-6.71,1,0.231,0.217,0.0,0.0931,0.842,140.122,4,chill,"('Coming for You (feat. A1 x J1)', 'SwitchOTR,A1 x J1')",3140,Coming for You (feat. A1 x J1),Coming for You (feat. A1 x J1),SwitchOTR,2021-10-29,GBARL2101712,2786,26.6,169896142.0,75491,4711796,56.0,75289061.0,945215.0,897591.0,130156421.0,1737382885.0,40640524.0,13.0,7525.0,,9.0,30030.0,4.0,,,,1055110.0,1,
377,44TzvSZLIkM7Y7MEnrvkIl,Tai Verdes,TV,Stuck In The Middle,66,196133,True,0.862,0.564,2,-6.566,1,0.0425,0.278,0.0,0.0935,0.836,119.952,4,indie-pop,"('Stuck In The Middle', 'Tai Verdes')",3158,Stuck In The Middle,Stuck in the Middle,Tai Verdes,2020-05-29,QZHN52001856,2861,26.1,143421888.0,46095,5506539,54.0,23355896.0,429911.0,4300313.0,895618190.0,6940732133.0,1036956.0,26.0,3496.0,150.0,5.0,176782.0,3.0,4696434.0,7554.0,,570828.0,1,
378,1v3Ozpbcx2B926aVW0UuXk,Tai Verdes,A-O-K,A-O-K,66,173640,True,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,4,indie-pop,"('A-O-K', 'Tai Verdes')",3159,A-O-K,A-O-K,Tai Verdes,2021-06-05,USQX92101406,1982,32.4,389915082.0,101681,12962599,66.0,12456282.0,162382.0,787994.0,412779417.0,3623326028.0,26683.0,57.0,67375.0,1665.0,9.0,48700.0,22.0,106214243.0,30063.0,,1518022.0,1,
379,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,you broke me first,84,169265,True,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,pop,"('you broke me first', 'Tate McRae')",3172,you broke me first,you broke me first,Tate McRae,2020-04-17,USRC12000832,409,75.6,1439465700.0,169076,47204234,77.0,706284693.0,7820244.0,880567.0,188771287.0,1383885042.0,947613259.0,238.0,395572.0,776.0,65.0,1097172.0,38.0,175068272.0,92428.0,20648981.0,5808069.0,1,
