,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
22,X (feat. Future),Savage Mode,21 Savage,2016-07-15,QZ45A1600041,"1,302",41.2,581220786.0,115125.0,20776088.0,65.0,365678540.0,2841760.0,80.0,4912.0,98210.0,1771108.0,94.0,1992.0,17,16.0,78389.0,19.0,267465925.0,32765.0,159665164.0,1739069.0,1
23,Bank Account,Issa Album,21 Savage,2017-06-07,USSM11705546,"1,267",42.0,1150653471.0,195032.0,31101180.0,70.0,822892668.0,6651112.0,909432.0,91295431.0,812215684.0,49508355.0,112.0,61.0,35,45.0,159480.0,20.0,252331684.0,206623.0,,4014637.0,1
24,a lot,i am > i was,21 Savage,2018-12-21,QZ45A1700126,872,51.7,949835159.0,219301.0,32815164.0,73.0,905118647.0,6526285.0,55114.0,16502363.0,131214658.0,180070256.0,70.0,94446.0,82,28.0,160500.0,30.0,123783971.0,95694.0,,3759769.0,1
25,ball w/o you,i am > i was,21 Savage,2018-12-21,QZ45A1700093,"2,068",31.7,637055162.0,167409.0,20422800.0,77.0,138716504.0,1556410.0,10513.0,3916682.0,29554904.0,47981300.0,19.0,85.0,,12.0,83442.0,5.0,18315624.0,18105.0,41638558.0,,1
26,Glock In My Lap,SAVAGE MODE II,21 Savage,2020-02-10,USSM12006061,"1,088",45.9,614603953.0,164722.0,24902576.0,78.0,164711656.0,1799801.0,45186.0,22453063.0,162296330.0,40458162.0,25.0,940.0,,18.0,196078.0,3.0,18427460.0,10054.0,34124605.0,2194666.0,1
27,Runnin,SAVAGE MODE II,21 Savage,2020-02-10,USSM12005346,"1,556",37.2,653352641.0,181583.0,32640138.0,77.0,155865473.0,1851789.0,32163.0,9481274.0,81321613.0,44602530.0,47.0,2096.0,1,18.0,65242.0,16.0,36081043.0,11994.0,,1299108.0,1
28,Rich Nigga Shit (feat. Young Thug),SAVAGE MODE II,21 Savage,2020-02-10,USSM12005348,"3,166",24.5,433309786.0,137820.0,15190372.0,73.0,35285134.0,512311.0,8562.0,8229618.0,59408058.0,,17.0,390.0,,11.0,25578.0,,8868498.0,5343.0,,,1
37,Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,2020-07-24,USQX92003025,130,133.0,1867736006.0,302486.0,82611625.0,76.0,747126783.0,10795292.0,2467227.0,160756733.0,1768836179.0,2069527154.0,329.0,931316.0,"1,897",273.0,3821598.0,85.0,240562062.0,131540.0,40756476.0,10228436.0,1
40,Dancing in My Room,Dancing in My Room,347aidan,2020-10-26,USQX92004785,"2,976",25.5,335188091.0,86549.0,11975787.0,61.0,122687107.0,2529521.0,1154302.0,413677323.0,3434097182.0,1051743.0,54.0,5455.0,119,9.0,18086.0,,7989935.0,19258.0,,1709213.0,1
41,MEMORIES!,TROUBLED MEMORIES!,347aidan,2021-06-18,USQX92102219,"4,541",19.5,225962467.0,76523.0,6879843.0,62.0,25819662.0,466288.0,313258.0,38604985.0,421102345.0,9177732.0,10.0,248.0,,4.0,4650.0,,2228794.0,4470.0,,1627617.0,0
42,Maybach (feat. Future),Free Dem Boyz,42 Dugg,2021-05-21,USUG12101418,"3,014",25.3,75717094.0,34136.0,5124318.0,55.0,216661579.0,1234087.0,24023.0,4773399.0,50774936.0,61994241.0,42.0,9269.0,,1.0,145.0,,82146544.0,17117.0,15809987.0,1103585.0,1
46,Youngblood,Youngblood,5 Seconds of Summer,2018-12-04,GBUM71800366,811,53.9,1790579305.0,180069.0,75602805.0,76.0,792369989.0,7627895.0,226361.0,15100678.0,81167209.0,225749952.0,148.0,298540.0,164,33.0,444155.0,64.0,394705510.0,159091.0,,10854729.0,0
47,Teeth,Teeth,5 Seconds of Summer,2019-08-21,USUG11902528,"2,315",29.7,683247723.0,103554.0,18582680.0,71.0,322965834.0,5220826.0,252245.0,60889240.0,561046941.0,21501456.0,62.0,27799.0,74,10.0,551258.0,19.0,56491309.0,60938.0,6558783.0,3637003.0,0
48,Candy Shop,Candy Shop,50 Cent,2005-01-01,USIR10500072,"3,732",22.2,954807024.0,219091.0,69258950.0,75.0,1230174677.0,8016633.0,313458.0,56619292.0,950938614.0,379363177.0,76.0,44539.0,122,49.0,662226.0,25.0,336378328.0,387818.0,18800874.0,6300407.0,1
49,Me and My Brother,Me and My Brother,5ive,2019-12-07,USQX91901641,"4,131",20.9,111894875.0,36302.0,1840798.0,59.0,113044166.0,1165613.0,1110500.0,57069383.0,505795992.0,,1.0,9.0,,,,,,,42037834.0,,1
50,Hands up!,Hands up!,6arelyhuman,2022-10-12,QZTB32254226,"3,533",22.9,144555119.0,30542.0,5116146.0,5.0,26566933.0,480339.0,160061.0,60350179.0,381921701.0,,,,,,,,570698.0,2783.0,6690026.0,544824.0,1
52,GOOBA,GOOBA,6ix9ine,2020-08-05,QZA742002191,780,54.8,472027271.0,97766.0,8876147.0,2.0,1012949756.0,14257151.0,2295814.0,448572991.0,4846286370.0,155050116.0,22.0,120.0,57,10.0,24148.0,3.0,11693239.0,76976.0,,2224515.0,1
